,concept_id,label_ko,label_en,class0,class1,class2,class3,fs_date,amount,rcp_no,report_nm,rcept_dt,available_at,stock_code,corp_code,corp_name
0,ifrs-full_CurrentAssets,유동자산,Current assets,재무상태표 [abstract],자산 [abstract],유동자산,,20211231,115110249112.0,20230118000417,[기재정정]사업보고서 (2021.12),20230118,20230118,285490,01259232,노바텍
1,ifrs-full_CashAndCashEquivalents,현금및현금성자산,Cash and cash equivalents,재무상태표 [abstract],자산 [abstract],유동자산,현금및현금성자산,20211231,43789956901.0,20230118000417,[기재정정]사업보고서 (2021.12),20230118,20230118,285490,01259232,노바텍
2,ifrs-full_OtherCurrentFinancialAssets,기타유동금융자산,Other current financial assets,재무상태표 [abstract],자산 [abstract],유동자산,기타유동금융자산,20211231,,20230118000417,[기재정정]사업보고서 (2021.12),20230118,20230118,285490,01259232,노바텍
3,ifrs-full_CurrentFinancialAssetsAtFairValueThroughProfitOrLossDesignatedUponInitialRecognition,유동 당기손익-공정가치 측정 지정 금융자산,"Current financial assets at fair value through profit or loss, designated upon initial recognition or subsequently",재무상태표 [abstract],자산 [abstract],유동자산,유동 당기손익-공정가치 측정 지정 금융자산,20211231,39586528359.0,20230118000417,[기재정정]사업보고서 (2021.12),20230118,20230118,285490,01259232,노바텍
4,dart_ShortTermTradeReceivable,매출채권,Short-term trade Receivable,재무상태표 [abstract],자산 [abstract],유동자산,매출채권,20211231,7374392716.0,20230118000417,[기재정정]사업보고서 (2021.12),20230118,20230118,285490,01259232,노바텍
5,ifrs-full_TradeAndOtherCurrentReceivables,기타수취채권,Trade and other current receivables,재무상태표 [abstract],자산 [abstract],유동자산,기타수취채권,20211231,2080468085.0,20230118000417,[기재정정]사업보고서 (2021.12),20230118,20230118,285490,01259232,노바텍
6,ifrs-full_Inventories,재고자산,Inventories,재무상태표 [abstract],자산 [abstract],유동자산,재고자산,20211231,12867193809.0,20230118000417,[기재정정]사업보고서 (2021.12),20230118,20230118,285490,01259232,노바텍
7,dart_OtherCurrentAssets,기타유동자산,Other current assets,재무상태표 [abstract],자산 [abstract],유동자산,기타유동자산,20211231,9386133916.0,20230118000417,[기재정정]사업보고서 (2021.12),20230118,20230118,285490,01259232,노바텍
8,ifrs-full_CurrentTaxAssets,당기법인세자산,Current tax assets,재무상태표 [abstract],자산 [abstract],유동자산,당기법인세자산,20211231,25575326.0,20230118000417,[기재정정]사업보고서 (2021.12),20230118,20230118,285490,01259232,노바텍
9,ifrs-full_NoncurrentAssets,비유동자산,Non-current assets,재무상태표 [abstract],자산 [abstract],비유동자산,,20211231,24372613054.0,20230118000417,[기재정정]사업보고서 (2021.12),20230118,20230118,285490,01259232,노바텍
10,ifrs-full_NoncurrentFinancialAssetsAtFairValueThroughProfitOrLossDesignatedUponInitialRecognition,비유동 당기손익-공정가치 측정 지정 금융자산,"Non-current financial assets at fair value through profit or loss, designated upon initial recognition or subsequently",재무상태표 [abstract],자산 [abstract],비유동자산,비유동 당기손익-공정가치 측정 지정 금융자산,20211231,,20230118000417,[기재정정]사업보고서 (2021.12),20230118,20230118,285490,01259232,노바텍
11,ifrs-full_InvestmentsInAssociates,관계기업에 대한 투자자산,Investments in associates,재무상태표 [abstract],자산 [abstract],비유동자산,관계기업에 대한 투자자산,20211231,2787379106.0,20230118000417,[기재정정]사업보고서 (2021.12),20230118,20230118,285490,01259232,노바텍
12,ifrs-full_PropertyPlantAndEquipment,유형자산,"Property, plant and equipment",재무상태표 [abstract],자산 [abstract],비유동자산,유형자산,20211231,15301074411.0,20230118000417,[기재정정]사업보고서 (2021.12),20230118,20230118,285490,01259232,노바텍
13,ifrs-full_RightofuseAssets,사용권자산,Right-of-use assets,재무상태표 [abstract],자산 [abstract],비유동자산,사용권자산,20211231,1263661824.0,20230118000417,[기재정정]사업보고서 (2021.12),20230118,20230118,285490,01259232,노바텍
14,dart_OtherIntangibleAssetsGross,무형자산,"Other intangible assets, gross",재무상태표 [abstract],자산 [abstract],비유동자산,무형자산,20211231,2386319832.0,20230118000417,[기재정정]사업보고서 (2021.12),20230118,20230118,285490,01259232,노바텍
15,entity01259232_udf_BS_2022217123212973_NoncurrentAssets,투자자산,Investments,재무상태표 [abstract],자산 [abstract],비유동자산,투자자산,20211231,2489214258.0,20230118000417,[기재정정]사업보고서 (2021.12),20230118,20230118,285490,01259232,노바텍
16,dart_LongTermTradeAndOtherNonCurrentReceivablesGross,장기기타수취채권,"Long-term trade and other non-current receivables, gross",재무상태표 [abstract],자산 [abstract],비유동자산,장기기타수취채권,20211231,88658271.0,20230118000417,[기재정정]사업보고서 (2021.12),20230118,20230118,285490,01259232,노바텍
17,dart_OtherNonCurrentAssets,기타비유동자산,Other non-current assets,재무상태표 [abstract],자산 [abstract],비유동자산,기타비유동자산,20211231,56305352.0,20230118000417,[기재정정]사업보고서 (2021.12),20230118,20230118,285490,01259232,노바텍
18,ifrs-full_Assets,자산총계,Total assets,재무상태표 [abstract],자산 [abstract],자산총계,,20211231,139482862166.0,20230118000417,[기재정정]사업보고서 (2021.12),20230118,20230118,285490,01259232,노바텍
19,ifrs-full_CurrentLiabilities,유동부채,Current liabilities,재무상태표 [abstract],부채 [abstract],유동부채,,20211231,9639192227.0,20230118000417,[기재정정]사업보고서 (2021.12),20230118,20230118,285490,01259232,노바텍
20,dart_ShortTermTradePayables,단기매입채무,Short-term trade Payables,재무상태표 [abstract],부채 [abstract],유동부채,단기매입채무,20211231,6254657933.0,20230118000417,[기재정정]사업보고서 (2021.12),20230118,20230118,285490,01259232,노바텍
21,ifrs-full_OtherCurrentFinancialLiabilities,기타유동금융부채,Other current financial liabilities,재무상태표 [abstract],부채 [abstract],유동부채,기타유동금융부채,20211231,182266571.0,20230118000417,[기재정정]사업보고서 (2021.12),20230118,20230118,285490,01259232,노바텍
22,dart_CurrentDerivativeLiabilities,유동파생상품부채,Current derivative liabilities,재무상태표 [abstract],부채 [abstract],유동부채,유동파생상품부채,20211231,,20230118000417,[기재정정]사업보고서 (2021.12),20230118,20230118,285490,01259232,노바텍
23,dart_OtherCurrentLiabilities,기타유동부채,Other current liabilities,재무상태표 [abstract],부채 [abstract],유동부채,기타유동부채,20211231,1488239447.0,20230118000417,[기재정정]사업보고서 (2021.12),20230118,20230118,285490,01259232,노바텍
24,ifrs-full_CurrentTaxLiabilities,당기법인세부채,Current tax liabilities,재무상태표 [abstract],부채 [abstract],유동부채,당기법인세부채,20211231,1629202047.0,20230118000417,[기재정정]사업보고서 (2021.12),20230118,20230118,285490,01259232,노바텍
25,dart_CurrentPortionOfExchangeableBond,유동성교환사채,Current portion of exchangeable bond,재무상태표 [abstract],부채 [abstract],유동부채,유동성교환사채,20211231,,20230118000417,[기재정정]사업보고서 (2021.12),20230118,20230118,285490,01259232,노바텍
26,ifrs-full_CurrentLeaseLiabilities,유동리스부채,Current lease liabilities,재무상태표 [abstract],부채 [abstract],유동부채,유동리스부채,20211231,84826229.0,20230118000417,[기재정정]사업보고서 (2021.12),20230118,20230118,285490,01259232,노바텍
27,ifrs-full_NoncurrentLiabilities,비유동부채,Non-current liabilities,재무상태표 [abstract],부채 [abstract],비유동부채,,20211231,5347041178.0,20230118000417,[기재정정]사업보고서 (2021.12),20230118,20230118,285490,01259232,노바텍
28,dart_PostemploymentBenefitObligations,확정급여부채,Post-employment benefit obligations,재무상태표 [abstract],부채 [abstract],비유동부채,확정급여부채,20211231,3872803531.0,20230118000417,[기재정정]사업보고서 (2021.12),20230118,20230118,285490,01259232,노바텍
29,ifrs-full_DeferredTaxLiabilities,이연법인세부채,Deferred tax liabilities,재무상태표 [abstract],부채 [abstract],비유동부채,이연법인세부채,20211231,1328382663.0,20230118000417,[기재정정]사업보고서 (2021.12),20230118,20230118,285490,01259232,노바텍
30,ifrs-full_NoncurrentLeaseLiabilities,비유동리스부채,Non-current lease liabilities,재무상태표 [abstract],부채 [abstract],비유동부채,비유동리스부채,20211231,145854984.0,20230118000417,[기재정정]사업보고서 (2021.12),20230118,20230118,285490,01259232,노바텍
31,ifrs-full_Liabilities,부채총계,Total liabilities,재무상태표 [abstract],부채 [abstract],부채총계,,20211231,14986233405.0,20230118000417,[기재정정]사업보고서 (2021.12),20230118,20230118,285490,01259232,노바텍
32,ifrs-full_EquityAttributableToOwnersOfParent,지배기업의 소유주에게 귀속되는 자본,Equity attributable to owners of parent,재무상태표 [abstract],자본 [abstract],지배기업의 소유주에게 귀속되는 자본,,20211231,117561965883.0,20230118000417,[기재정정]사업보고서 (2021.12),20230118,20230118,285490,01259232,노바텍
33,ifrs-full_IssuedCapital,자본금,Issued capital,재무상태표 [abstract],자본 [abstract],지배기업의 소유주에게 귀속되는 자본,자본금,20211231,5040872000.0,20230118000417,[기재정정]사업보고서 (2021.12),20230118,20230118,285490,01259232,노바텍
34,dart_CapitalSurplus,자본잉여금,Capital surplus,재무상태표 [abstract],자본 [abstract],지배기업의 소유주에게 귀속되는 자본,자본잉여금,20211231,34435746534.0,20230118000417,[기재정정]사업보고서 (2021.12),20230118,20230118,285490,01259232,노바텍
35,dart_ElementsOfOtherStockholdersEquity,기타자본구성요소,Elements of other stockholder's equity,재무상태표 [abstract],자본 [abstract],지배기업의 소유주에게 귀속되는 자본,기타자본구성요소,20211231,-3698467801.0,20230118000417,[기재정정]사업보고서 (2021.12),20230118,20230118,285490,01259232,노바텍
36,ifrs-full_RetainedEarnings,이익잉여금(결손금),Retained earnings,재무상태표 [abstract],자본 [abstract],지배기업의 소유주에게 귀속되는 자본,이익잉여금(결손금),20211231,81783815150.0,20230118000417,[기재정정]사업보고서 (2021.12),20230118,20230118,285490,01259232,노바텍
37,ifrs-full_NoncontrollingInterests,비지배지분,Non-controlling interests,재무상태표 [abstract],자본 [abstract],비지배지분,,20211231,6934662878.0,20230118000417,[기재정정]사업보고서 (2021.12),20230118,20230118,285490,01259232,노바텍
38,ifrs-full_Equity,자본총계,Total equity,재무상태표 [abstract],자본 [abstract],자본총계,,20211231,124496628761.0,20230118000417,[기재정정]사업보고서 (2021.12),20230118,20230118,285490,01259232,노바텍
39,ifrs-full_EquityAndLiabilities,자본과부채총계,Total equity and liabilities,재무상태표 [abstract],자본과부채총계,,,20211231,139482862166.0,20230118000417,[기재정정]사업보고서 (2021.12),20230118,20230118,285490,01259232,노바텍
40,ifrs-full_CurrentAssets,유동자산,Current assets,재무상태표 [abstract],자산 [abstract],유동자산,,20201231,86593479898.0,20230118000417,[기재정정]사업보고서 (2021.12),20230118,20230118,285490,01259232,노바텍
41,ifrs-full_CashAndCashEquivalents,현금및현금성자산,Cash and cash equivalents,재무상태표 [abstract],자산 [abstract],유동자산,현금및현금성자산,20201231,41765499544.0,20230118000417,[기재정정]사업보고서 (2021.12),20230118,20230118,285490,01259232,노바텍
42,ifrs-full_OtherCurrentFinancialAssets,기타유동금융자산,Other current financial assets,재무상태표 [abstract],자산 [abstract],유동자산,기타유동금융자산,20201231,3494000000.0,20230118000417,[기재정정]사업보고서 (2021.12),20230118,20230118,285490,01259232,노바텍
43,ifrs-full_CurrentFinancialAssetsAtFairValueThroughProfitOrLossDesignatedUponInitialRecognition,유동 당기손익-공정가치 측정 지정 금융자산,"Current financial assets at fair value through profit or loss, designated upon initial recognition or subsequently",재무상태표 [abstract],자산 [abstract],유동자산,유동 당기손익-공정가치 측정 지정 금융자산,20201231,28560525474.0,20230118000417,[기재정정]사업보고서 (2021.12),20230118,20230118,285490,01259232,노바텍
44,dart_ShortTermTradeReceivable,매출채권,Short-term trade Receivable,재무상태표 [abstract],자산 [abstract],유동자산,매출채권,20201231,3120016298.0,20230118000417,[기재정정]사업보고서 (2021.12),20230118,20230118,285490,01259232,노바텍
45,ifrs-full_TradeAndOtherCurrentReceivables,기타수취채권,Trade and other current receivables,재무상태표 [abstract],자산 [abstract],유동자산,기타수취채권,20201231,1175019939.0,20230118000417,[기재정정]사업보고서 (2021.12),20230118,20230118,285490,01259232,노바텍
46,ifrs-full_Inventories,재고자산,Inventories,재무상태표 [abstract],자산 [abstract],유동자산,재고자산,20201231,7369517855.0,20230118000417,[기재정정]사업보고서 (2021.12),20230118,20230118,285490,01259232,노바텍
47,dart_OtherCurrentAssets,기타유동자산,Other current assets,재무상태표 [abstract],자산 [abstract],유동자산,기타유동자산,20201231,1101889808.0,20230118000417,[기재정정]사업보고서 (2021.12),20230118,20230118,285490,01259232,노바텍
48,ifrs-full_CurrentTaxAssets,당기법인세자산,Current tax assets,재무상태표 [abstract],자산 [abstract],유동자산,당기법인세자산,20201231,7010980.0,20230118000417,[기재정정]사업보고서 (2021.12),20230118,20230118,285490,01259232,노바텍
49,ifrs-full_NoncurrentAssets,비유동자산,Non-current assets,재무상태표 [abstract],자산 [abstract],비유동자산,,20201231,16677117868.0,20230118000417,[기재정정]사업보고서 (2021.12),20230118,20230118,285490,01259232,노바텍
50,ifrs-full_NoncurrentFinancialAssetsAtFairValueThroughProfitOrLossDesignatedUponInitialRecognition,비유동 당기손익-공정가치 측정 지정 금융자산,"Non-current financial assets at fair value through profit or loss, designated upon initial recognition or subsequently",재무상태표 [abstract],자산 [abstract],비유동자산,비유동 당기손익-공정가치 측정 지정 금융자산,20201231,4579481899.0,20230118000417,[기재정정]사업보고서 (2021.12),20230118,20230118,285490,01259232,노바텍
51,ifrs-full_InvestmentsInAssociates,관계기업에 대한 투자자산,Investments in associates,재무상태표 [abstract],자산 [abstract],비유동자산,관계기업에 대한 투자자산,20201231,1534376463.0,20230118000417,[기재정정]사업보고서 (2021.12),20230118,20230118,285490,01259232,노바텍
52,ifrs-full_PropertyPlantAndEquipment,유형자산,"Property, plant and equipment",재무상태표 [abstract],자산 [abstract],비유동자산,유형자산,20201231,7764657119.0,20230118000417,[기재정정]사업보고서 (2021.12),20230118,20230118,285490,01259232,노바텍
53,ifrs-full_RightofuseAssets,사용권자산,Right-of-use assets,재무상태표 [abstract],자산 [abstract],비유동자산,사용권자산,20201231,1137593707.0,20230118000417,[기재정정]사업보고서 (2021.12),20230118,20230118,285490,01259232,노바텍
54,dart_OtherIntangibleAssetsGross,무형자산,"Other intangible assets, gross",재무상태표 [abstract],자산 [abstract],비유동자산,무형자산,20201231,1586177970.0,20230118000417,[기재정정]사업보고서 (2021.12),20230118,20230118,285490,01259232,노바텍
55,entity01259232_udf_BS_2022217123212973_NoncurrentAssets,투자자산,Investments,재무상태표 [abstract],자산 [abstract],비유동자산,투자자산,20201231,,20230118000417,[기재정정]사업보고서 (2021.12),20230118,20230118,285490,01259232,노바텍
56,dart_LongTermTradeAndOtherNonCurrentReceivablesGross,장기기타수취채권,"Long-term trade and other non-current receivables, gross",재무상태표 [abstract],자산 [abstract],비유동자산,장기기타수취채권,20201231,68140350.0,20230118000417,[기재정정]사업보고서 (2021.12),20230118,20230118,285490,01259232,노바텍
57,dart_OtherNonCurrentAssets,기타비유동자산,Other non-current assets,재무상태표 [abstract],자산 [abstract],비유동자산,기타비유동자산,20201231,6690360.0,20230118000417,[기재정정]사업보고서 (2021.12),20230118,20230118,285490,01259232,노바텍
